Census_Year,State_Code,State_Name,Region,No_Of_HH,Population,Avg_HH_Population
"2,001",28,State - ANDHRA PRADESH  (28),TOTAL,"16,920,613","75,051,872",4.4
"2,001",28,State - ANDHRA PRADESH  (28),RURAL,"12,559,817","54,673,902",4.4
"2,001",28,State - ANDHRA PRADESH  (28),URBAN,"4,360,796","20,377,970",4.7
"2,001",29,State - KARNATAKA  (29),TOTAL,"10,354,059","52,264,963",5.0
"2,001",29,State - KARNATAKA  (29),RURAL,"6,701,260","34,623,833",5.2
"2,001",29,State - KARNATAKA  (29),URBAN,"3,652,799","17,641,130",4.8
"2,001",30,State - GOA  (30),TOTAL,"292,365","1,325,081",4.5
"2,001",30,State - GOA  (30),RURAL,"144,214","669,509",4.6
"2,001",30,State - GOA  (30),URBAN,"148,151","655,572",4.4
"2,001",31,State - LAKSHADWEEP  (31),TOTAL,"9,957","59,717",6.0
"2,001",31,State - LAKSHADWEEP  (31),RURAL,"5,651","33,395",5.9
"2,001",31,State - LAKSHADWEEP  (31),URBAN,"4,306","26,322",6.1
"2,001",32,State - KERALA  (32),TOTAL,"6,707,811","31,596,834",4.7
"2,001",32,State - KERALA  (32),RURAL,"4,999,330","23,429,163",4.7
"2,001",32,State - KERALA  (32),URBAN,"1,708,481","8,167,671",4.8
"2,001",33,State - TAMIL NADU  (33),TOTAL,"14,603,541","61,639,281",4.2
"2,001",33,State - TAMIL NADU  (33),RURAL,"8,259,489","34,633,118",4.2
"2,001",33,State - TAMIL NADU  (33),URBAN,"6,344,052","27,006,163",4.3
"2,001",34,State - PONDICHERRY  (34),TOTAL,"214,390","960,942",4.5
"2,001",34,State - PONDICHERRY  (34),RURAL,"72,791","323,447",4.4
"2,001",34,State - PONDICHERRY  (34),URBAN,"141,599","637,495",4.5
"2,001",35,State - ANDAMAN & NICOBAR ISLANDS  (35),TOTAL,"77,578","347,864",4.5
"2,001",35,State - ANDAMAN & NICOBAR ISLANDS  (35),RURAL,"51,563","235,949",4.6
"2,001",35,State - ANDAMAN & NICOBAR ISLANDS  (35),URBAN,"26,015","111,915",4.3
